Country,TIME_PERIOD,OBS_VALUE,Country Code,Indicator Name,Indicator Code,GDP_per_capita
United Kingdom,2013,48.31358,GBR,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,49839.2263681782
Japan,2013,58.368496,JPN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,42725.5502140447
United Kingdom,2017,51.624851,GBR,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,53398.9895977911
Canada,2017,60.916767,CAN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,55756.2624817832
France,2017,44.34428,FRA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,53398.3221252092
United States,2014,45.663815,USA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,63214.8953462352
Italy,2014,24.158854,ITA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,46779.7460564373
United Kingdom,2016,51.775383,GBR,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,52372.4780334819
United States,2015,46.517712,USA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,64599.5737360527
Italy,2015,25.149963,ITA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,47189.2921617744
Germany,1998,21.545525,DEU,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,47586.7706723412
Spain,1998,31.182714,ESP,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,36285.4976301382
Spain,1999,32.381985,ESP,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,37761.5504056123
France,1999,30.937677,FRA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,46106.7498246449
Canada,1999,46.988796,CAN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,45761.9298921855
France,1997,27.807184,FRA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,43420.56321652
Canada,1997,44.168514,CAN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,42587.366207601
United States,1997,35.704861,USA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,50002.9748720618
United Kingdom,2022,57.699051,GBR,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,54515.750238256
United Kingdom,2000,28.901674,GBR,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,44814.386849721
Japan,2000,47.844826,JPN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,39220.0779791191
Canada,2000,48.400093,CAN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,47667.4330856329
France,2000,31.375711,FRA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,47587.8760697138
Germany,2000,22.250971,DEU,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,49797.2530278023
Spain,2004,38.99802,ESP,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,42402.0436363945
United States,2004,39.042027,USA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,58153.3878283911
Italy,2004,14.792785,ITA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,51726.9867697862
United States,2002,39.336624,USA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,55456.8624028822
Italy,2002,12.461238,ITA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,51489.3846069081
United Kingdom,2002,31.410488,GBR,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,46417.0943307165
Japan,2002,50.993023,JPN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,39201.9757708351
United Kingdom,2003,33.321693,GBR,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,47655.2221253637
Japan,2003,51.645981,JPN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,39718.6938625784
Germany,2001,21.779524,DEU,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,50549.4695470052
France,2005,39.776222,FRA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,49877.6905759025
Canada,2005,53.694931,CAN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,51564.8455651212
United States,2005,39.363441,USA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,59627.0590559421
Italy,2005,16.105026,ITA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,51894.4043925102
Germany,2006,21.983997,DEU,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,52987.1737476882
Spain,2006,40.32674,ESP,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,44233.2555241466
Spain,2007,40.025246,ESP,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,44987.2430302492
France,2007,41.444328,FRA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,51657.1162017295
Canada,2007,55.674667,CAN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,52948.8994271698
United Kingdom,2008,43.337868,GBR,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,50734.851127071
Japan,2008,55.060974,JPN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,41874.2297629698
Canada,2008,55.619267,CAN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,52899.4754504882
France,2008,40.825264,FRA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,51500.8617800091
Germany,2008,23.916872,DEU,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,55266.7628544411
France,2021,50.256466,FRA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,53834.7992971017
Canada,2021,66.357666,CAN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,55781.6990272912
United States,2021,51.1675,USA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,71055.87619383
Italy,2021,28.267422,ITA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,49901.6121367429
Germany,2021,35.882999,DEU,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,61939.6515850137
United States,2010,42.310982,USA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,59821.6650811366
Italy,2010,20.719744,ITA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,50022.591868765
United Kingdom,2010,46.046906,GBR,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,48720.5957094612
Japan,2010,56.70573,JPN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,41106.2612443372
Germany,2009,25.655298,DEU,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,52252.1946255111
United Kingdom,2011,46.910782,GBR,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,48894.882257416
Japan,2011,58.721333,JPN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,41192.2768370627
Spain,2012,40.386406,ESP,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,40717.1994237145
United States,2012,44.042595,USA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,61247.3170720931
Italy,2012,22.250719,ITA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,48659.4289187836
Spain,2016,40.980919,ESP,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,43823.4508776186
Japan,2016,60.120392,JPN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,43976.2664006851
Canada,2016,60.582603,CAN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,54765.3037720868
France,2016,44.036968,FRA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,52353.8633639783
Germany,2016,30.527618,DEU,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,60181.1002169237
Germany,2014,28.422802,DEU,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,58981.4777678521
United Kingdom,2014,49.185982,GBR,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,51054.5929860184
Spain,2014,41.477402,ESP,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,40962.0167898
United Kingdom,2015,49.943413,GBR,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,51776.2489852598
Spain,2015,40.959778,ESP,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,42567.3662619036
